GEO_Region,Month,Passenger_Count
Asia,01,327377
Asia,02,282130
Asia,03,310017
Asia,04,280684
Asia,05,338292
Asia,06,359562
Asia,07,327344
Asia,08,325430
Asia,09,286123
Asia,10,330156
Asia,11,305268
Asia,12,345983
Australia / Oceania,01,50870
Australia / Oceania,02,40780
Australia / Oceania,03,34819
Australia / Oceania,04,30041
Australia / Oceania,05,30622
Australia / Oceania,06,36092
Australia / Oceania,07,39621
Australia / Oceania,08,33500
Australia / Oceania,09,35161
Australia / Oceania,10,40431
Australia / Oceania,11,38192
Australia / Oceania,12,45215
Canada,01,77278
Canada,02,78656
Canada,03,91741
Canada,04,87700
Canada,05,116504
Canada,06,137954
Canada,07,138545
Canada,08,147189
Canada,09,121128
Canada,10,104883
Canada,11,77094
Canada,12,86782
Central America,01,16333
Central America,02,13423
Central America,03,14364
Central America,04,13011
Central America,05,13619
Central America,06,16720
Central America,07,16574
Central America,08,13745
Central America,09,11442
Central America,10,12896
Central America,11,14728
Central America,12,19060
Europe,01,162129
Europe,02,140425
Europe,03,180895
Europe,04,206974
Europe,05,265664
Europe,06,282759
Europe,07,257028
Europe,08,269834
Europe,09,257413
Europe,10,223774
Europe,11,170780
Europe,12,177964
Mexico,01,69161
Mexico,02,64910
Mexico,03,75719
Mexico,04,71769
Mexico,05,73330
Mexico,06,84083
Mexico,07,82079
Mexico,08,68714
Mexico,09,48293
Mexico,10,60738
Mexico,11,78103
Mexico,12,94000
Middle East,01,25211
Middle East,02,23258
Middle East,03,23953
Middle East,04,22983
Middle East,05,28626
Middle East,06,33629
Middle East,07,26883
Middle East,08,27316
Middle East,09,23629
Middle East,10,27322
Middle East,11,28822
Middle East,12,30603
South America,01,5086
South America,02,5604
South America,03,6428
South America,04,5198
South America,05,5660
South America,06,5628
South America,07,5620
South America,08,5311
South America,09,4934
South America,10,5597
South America,11,5688
South America,12,5913
US,01,2269130
US,02,2184538
US,03,2597325
US,04,2558471
US,05,2722990
US,06,2974294
US,07,2936115
US,08,2962203
US,09,2595513
US,10,2730664
US,11,2553059
US,12,2595404
