Year,Month,Operating_Airline,Passenger_Count
2005,07,ATA Airlines,123634
2005,07,Air Canada,138492
2005,07,Air China,23526
2005,07,Air France,47376
2005,07,Air New Zealand,19920
2005,07,AirTran Airways,32078
2005,07,Alaska Airlines,231586
2005,07,All Nippon Airways,25278
2005,07,American Airlines,654934
2005,07,American Eagle Airlines,21412
2005,07,Asiana Airlines,19570
2005,07,Atlantic Southeast Airlines,6072
2005,07,BelAir Airlines,1740
2005,07,British Airways,84636
2005,07,Cathay Pacific,41276
2005,07,China Airlines,49786
2005,07,Delta Air Lines,382602
2005,07,EVA Airways,52548
2005,07,Frontier Airlines,75204
2005,07,Hawaiian Airlines,30474
2005,07,Horizon Air,21082
2005,07,Icelandair (Inactive),17762
2005,07,Independence Air,43620
2005,07,Japan Airlines,36562
2005,07,KLM Royal Dutch Airlines,39130
2005,07,Korean Air Lines,23598
2005,07,Lufthansa German Airlines,85800
2005,07,Mesa Airlines,10342
2005,07,Mexicana Airlines,31192
2005,07,Midwest Airlines,10070
2005,07,Northwest Airlines (became Delta),280126
2005,07,Philippine Airlines,46194
2005,07,Singapore Airlines,73346
2005,07,SkyWest Airlines,452942
2005,07,Sun Country Airlines,19222
2005,07,"TACA International Airlines, S.A.",26710
2005,07,US Airways,336788
2005,07,United Airlines,246234
2005,07,United Airlines - Pre 07/01/2013,2534382
2005,07,Virgin Atlantic,44910
2005,07,WestJet Airlines,9382
2005,08,ATA Airlines,119438
2005,08,Air Canada,137966
2005,08,Air China,16254
2005,08,Air France,45922
2005,08,Air New Zealand,17356
2005,08,AirTran Airways,31066
2005,08,Alaska Airlines,237250
2005,08,All Nippon Airways,25410
2005,08,American Airlines,639528
2005,08,American Eagle Airlines,20198
2005,08,Asiana Airlines,14950
2005,08,Atlantic Southeast Airlines,6590
2005,08,BelAir Airlines,2208
2005,08,Boeing Company,36
2005,08,British Airways,80792
2005,08,Cathay Pacific,41606
2005,08,China Airlines,51164
2005,08,Delta Air Lines,389006
2005,08,EVA Airways,50948
2005,08,Frontier Airlines,68590
2005,08,Hawaiian Airlines,31348
2005,08,Horizon Air,21680
2005,08,Icelandair (Inactive),18092
2005,08,Independence Air,38082
2005,08,Japan Airlines,34418
2005,08,KLM Royal Dutch Airlines,39094
2005,08,Korean Air Lines,32040
2005,08,Lufthansa German Airlines,86786
2005,08,Mesa Airlines,10542
2005,08,Mexicana Airlines,26204
2005,08,Midwest Airlines,9868
2005,08,Northwest Airlines (became Delta),253608
2005,08,Philippine Airlines,43148
2005,08,Singapore Airlines,72620
2005,08,SkyWest Airlines,454066
2005,08,Sun Country Airlines,18874
2005,08,"TACA International Airlines, S.A.",24970
2005,08,US Airways,336328
2005,08,United Airlines,247280
2005,08,United Airlines - Pre 07/01/2013,2543790
2005,08,Virgin Atlantic,43514
2005,08,WestJet Airlines,9102
2005,09,ATA Airlines,80588
2005,09,Air Canada,101186
2005,09,Air China,17968
2005,09,Air France,44136
2005,09,Air New Zealand,17720
2005,09,AirTran Airways,27726
2005,09,Alaska Airlines,195810
2005,09,All Nippon Airways,23670
2005,09,American Airlines,541974
2005,09,American Eagle Airlines,16812
2005,09,Asiana Airlines,19864
2005,09,BelAir Airlines,846
2005,09,British Airways,82180
2005,09,Cathay Pacific,36488
2005,09,China Airlines,37280
2005,09,Delta Air Lines,340502
2005,09,EVA Airways,41366
2005,09,Frontier Airlines,52830
2005,09,Hawaiian Airlines,30718
2005,09,Horizon Air,18098
2005,09,Icelandair (Inactive),7346
2005,09,Independence Air,21442
2005,09,Japan Airlines,30702
2005,09,KLM Royal Dutch Airlines,38150
2005,09,Korean Air Lines,15584
2005,09,Lufthansa German Airlines,83828
2005,09,Mesa Airlines,7064
2005,09,Mexicana Airlines,17618
2005,09,Midwest Airlines,11560
2005,09,Northwest Airlines (became Delta),213342
2005,09,Philippine Airlines,32396
2005,09,Singapore Airlines,59020
2005,09,SkyWest Airlines,423800
2005,09,Sun Country Airlines,14556
2005,09,"TACA International Airlines, S.A.",14638
2005,09,US Airways,284234
2005,09,United Airlines,198454
2005,09,United Airlines - Pre 07/01/2013,2226102
2005,09,Virgin Atlantic,45414
2005,09,WestJet Airlines,8094
2005,10,ATA Airlines,86870
2005,10,Air Canada,89912
2005,10,Air China,18088
2005,10,Air France,42622
2005,10,Air New Zealand,15888
2005,10,AirTran Airways,27358
2005,10,Alaska Airlines,195052
2005,10,All Nippon Airways,23340
2005,10,American Airlines,553284
2005,10,American Eagle Airlines,18386
2005,10,Asiana Airlines,20166
2005,10,British Airways,76882
2005,10,Cathay Pacific,41354
2005,10,China Airlines,38346
2005,10,Delta Air Lines,337650
2005,10,EVA Airways,42866
2005,10,Frontier Airlines,50150
2005,10,Hawaiian Airlines,29036
2005,10,Horizon Air,17132
2005,10,Icelandair (Inactive),3568
2005,10,Independence Air,17992
2005,10,Japan Airlines,30142
2005,10,KLM Royal Dutch Airlines,36992
2005,10,Korean Air Lines,15854
2005,10,Lufthansa German Airlines,80636
2005,10,Mesa Airlines,6474
2005,10,Mexicana Airlines,24224
2005,10,Miami Air International,56
2005,10,Midwest Airlines,9156
2005,10,Northwest Airlines (became Delta),217344
2005,10,Philippine Airlines,43866
2005,10,Singapore Airlines,63888
2005,10,SkyWest Airlines,447652
2005,10,Sun Country Airlines,13912
2005,10,"TACA International Airlines, S.A.",15128
2005,10,US Airways,294074
2005,10,United Airlines,208722
2005,10,United Airlines - Pre 07/01/2013,2243090
2005,10,Virgin Atlantic,38710
2005,10,WestJet Airlines,5568
2005,11,ATA Airlines,75420
2005,11,Air Canada,72574
2005,11,Air China,17398
2005,11,Air France,29390
2005,11,Air New Zealand,17336
2005,11,AirTran Airways,23642
2005,11,Alaska Airlines,213464
2005,11,All Nippon Airways,21570
2005,11,American Airlines,534148
2005,11,American Eagle Airlines,17598
2005,11,Asiana Airlines,18766
2005,11,British Airways,61636
2005,11,Cathay Pacific,40174
2005,11,China Airlines,38376
2005,11,Delta Air Lines,310466
2005,11,EVA Airways,45010
2005,11,Frontier Airlines,52004
2005,11,Hawaiian Airlines,27974
2005,11,Horizon Air,17622
2005,11,Independence Air,6690
2005,11,Japan Airlines,30056
2005,11,KLM Royal Dutch Airlines,29290
2005,11,Korean Air Lines,17846
2005,11,Lufthansa German Airlines,61060
2005,11,Mesa Airlines,5284
2005,11,Mexicana Airlines,27230
2005,11,Midwest Airlines,8010
2005,11,Northwest Airlines (became Delta),206446
2005,11,Philippine Airlines,34404
2005,11,Singapore Airlines,62914
2005,11,SkyWest Airlines,399230
2005,11,Sun Country Airlines,15358
2005,11,"TACA International Airlines, S.A.",16728
2005,11,US Airways,248084
2005,11,United Airlines,189542
2005,11,United Airlines - Pre 07/01/2013,2204434
2005,11,Virgin Atlantic,32390
2005,11,WestJet Airlines,5102
2005,12,ATA Airlines,69130
2005,12,Air Canada,77362
2005,12,Air Canada Jazz,2126
2005,12,Air China,15608
2005,12,Air France,29228
2005,12,Air New Zealand,27758
2005,12,AirTran Airways,23382
2005,12,Alaska Airlines,212138
2005,12,All Nippon Airways,22500
2005,12,American Airlines,514956
2005,12,American Eagle Airlines,17472
2005,12,Asiana Airlines,19576
2005,12,British Airways,60658
2005,12,Cathay Pacific,40510
2005,12,China Airlines,42372
2005,12,Delta Air Lines,311846
2005,12,EVA Airways,46736
2005,12,Frontier Airlines,51808
2005,12,Hawaiian Airlines,29252
2005,12,Horizon Air,17150
2005,12,Japan Airlines,32572
2005,12,KLM Royal Dutch Airlines,29122
2005,12,Korean Air Lines,19150
2005,12,Lufthansa German Airlines,59290
2005,12,Mesa Airlines,5592
2005,12,Mexicana Airlines,32680
2005,12,Midwest Airlines,8586
2005,12,Northwest Airlines (became Delta),213724
2005,12,Philippine Airlines,40560
2005,12,Singapore Airlines,70148
2005,12,SkyWest Airlines,391064
2005,12,Sun Country Airlines,16928
2005,12,"TACA International Airlines, S.A.",25814
2005,12,US Airways,231844
2005,12,United Airlines,194398
2005,12,United Airlines - Pre 07/01/2013,2301870
2005,12,Virgin Atlantic,33954
2005,12,WestJet Airlines,4730
2006,01,ATA Airlines,57104
2006,01,Air Canada,74692
2006,01,Air Canada Jazz,1238
2006,01,Air China,13096
2006,01,Air France,29480
2006,01,Air New Zealand,28276
2006,01,AirTran Airways,16306
2006,01,Alaska Airlines,199876
2006,01,All Nippon Airways,25268
2006,01,American Airlines,457352
2006,01,American Eagle Airlines,14412
2006,01,Asiana Airlines,19708
2006,01,British Airways,63916
2006,01,Cathay Pacific,43708
2006,01,China Airlines,46506
2006,01,Delta Air Lines,243000
2006,01,EVA Airways,51254
2006,01,Frontier Airlines,46334
2006,01,Hawaiian Airlines,29466
2006,01,Horizon Air,14192
2006,01,Japan Airlines,33148
2006,01,KLM Royal Dutch Airlines,27858
2006,01,Korean Air Lines,22164
2006,01,Lufthansa German Airlines,60604
2006,01,Mesa Airlines,5088
2006,01,Mexicana Airlines,30712
2006,01,Midwest Airlines,8418
2006,01,Northwest Airlines (became Delta),180126
2006,01,Philippine Airlines,46714
2006,01,Singapore Airlines,73042
2006,01,SkyWest Airlines,391608
2006,01,Sun Country Airlines,9598
2006,01,"TACA International Airlines, S.A.",23116
2006,01,US Airways,220418
2006,01,United Airlines,166668
2006,01,United Airlines - Pre 07/01/2013,2085328
2006,01,Virgin Atlantic,35926
2006,01,WestJet Airlines,2058
2006,02,ATA Airlines,46732
2006,02,Air Canada,70656
2006,02,Air China,11258
2006,02,Air France,25944
2006,02,Air New Zealand,24674
2006,02,AirTran Airways,11830
2006,02,Alaska Airlines,183684
2006,02,All Nippon Airways,18728
2006,02,American Airlines,406898
2006,02,American Eagle Airlines,14804
2006,02,Asiana Airlines,16148
2006,02,British Airways,51732
2006,02,Cathay Pacific,37090
2006,02,China Airlines,37384
2006,02,Delta Air Lines,224664
2006,02,EVA Airways,44238
2006,02,Frontier Airlines,47040
2006,02,Hawaiian Airlines,26246
2006,02,Horizon Air,14698
2006,02,Japan Airlines,28560
2006,02,KLM Royal Dutch Airlines,23362
2006,02,Korean Air Lines,17850
2006,02,Lufthansa German Airlines,50782
2006,02,Mesa Airlines,4716
2006,02,Mexicana Airlines,26790
2006,02,Midwest Airlines,8630
2006,02,Northwest Airlines (became Delta),163604
2006,02,Philippine Airlines,33252
2006,02,Singapore Airlines,58302
2006,02,SkyWest Airlines,388232
2006,02,Sun Country Airlines,8652
2006,02,"TACA International Airlines, S.A.",16228
2006,02,US Airways,206486
2006,02,United Airlines,147242
2006,02,United Airlines - Pre 07/01/2013,1920128
2006,02,Virgin Atlantic,28784
2006,03,ATA Airlines,54748
2006,03,Air Canada,89856
2006,03,Air China,17328
2006,03,Air France,35126
2006,03,Air New Zealand,25994
2006,03,AirTran Airways,17998
2006,03,Alaska Airlines,214262
2006,03,All Nippon Airways,22622
2006,03,American Airlines,501056
2006,03,American Eagle Airlines,17972
2006,03,Asiana Airlines,17756
2006,03,British Airways,70270
2006,03,Cathay Pacific,44188
2006,03,China Airlines,43676
2006,03,Delta Air Lines,306130
2006,03,EVA Airways,48062
2006,03,Frontier Airlines,61172
2006,03,Hawaiian Airlines,29006
2006,03,Horizon Air,18684
2006,03,Japan Airlines,31936
2006,03,KLM Royal Dutch Airlines,33032
2006,03,Korean Air Lines,17930
2006,03,Lufthansa German Airlines,65348
2006,03,Mesa Airlines,5882
2006,03,Mexicana Airlines,28110
2006,03,Midwest Airlines,11760
2006,03,Northwest Airlines (became Delta),200308
2006,03,Philippine Airlines,39428
2006,03,Qantas Airways,2174
2006,03,Singapore Airlines,60888
2006,03,SkyWest Airlines,457364
2006,03,Sun Country Airlines,13790
2006,03,"TACA International Airlines, S.A.",17662
2006,03,US Airways,240664
2006,03,United Airlines,187034
2006,03,United Airlines - Pre 07/01/2013,2331280
2006,03,Virgin Atlantic,37060
2006,04,ATA Airlines,52458
2006,04,Air Canada,92732
2006,04,Air China,18378
2006,04,Air France,45808
2006,04,Air New Zealand,20998
2006,04,AirTran Airways,29418
2006,04,Alaska Airlines,207096
2006,04,All Nippon Airways,21640
2006,04,American Airlines,565676
2006,04,American Eagle Airlines,17198
2006,04,Asiana Airlines,17740
2006,04,British Airways,80078
2006,04,Cathay Pacific,41736
2006,04,China Airlines,42576
2006,04,Delta Air Lines,316722
2006,04,EVA Airways,46216
2006,04,Frontier Airlines,65006
2006,04,Hawaiian Airlines,27830
2006,04,Horizon Air,16562
2006,04,Japan Airlines,29138
2006,04,KLM Royal Dutch Airlines,32710
2006,04,Korean Air Lines,19762
2006,04,Lufthansa German Airlines,79780
2006,04,Mesa Airlines,4772
2006,04,Mexicana Airlines,33698
2006,04,Midwest Airlines,23530
2006,04,Northwest Airlines (became Delta),209742
2006,04,Philippine Airlines,47802
2006,04,Qantas Airways,14160
2006,04,Singapore Airlines,61078
2006,04,SkyWest Airlines,429606
2006,04,Sun Country Airlines,14112
2006,04,"TACA International Airlines, S.A.",17872
2006,04,US Airways,262432
2006,04,United Airlines,197974
2006,04,United Airlines - Pre 07/01/2013,2300286
2006,04,Virgin Atlantic,42264
2006,05,ATA Airlines,380
2006,05,Air Canada,98676
2006,05,Air China,21040
2006,05,Air France,47770
2006,05,Air New Zealand,17774
