GEO_Region,year,passenger_count
Asia,2005,3911464
Asia,2006,7956754
Asia,2007,8415500
Asia,2008,8399632
Asia,2009,7378248
Asia,2010,8035588
Asia,2011,7889440
Asia,2012,8239532
Asia,2013,8109968
Asia,2014,8421742
Asia,2015,8920508
Asia,2016,9760580
Asia,2017,10554146
Asia,2018,11133624
Asia,2019,11701330
Asia,2020,2544206
Asia,2021,1585700
Asia,2022,3102633
Australia / Oceania,2005,329982
Australia / Oceania,2006,906840
Australia / Oceania,2007,1026154
Australia / Oceania,2008,979064
Australia / Oceania,2009,957938
Australia / Oceania,2010,910932
Australia / Oceania,2011,833848
Australia / Oceania,2012,793564
Australia / Oceania,2013,862438
Australia / Oceania,2014,800478
Australia / Oceania,2015,784882
Australia / Oceania,2016,1187514
Australia / Oceania,2017,1296886
Australia / Oceania,2018,1500102
Australia / Oceania,2019,1864746
Australia / Oceania,2020,547110
Australia / Oceania,2021,163650
Australia / Oceania,2022,753566
Canada,2005,1178934
Canada,2006,2388406
Canada,2007,2578040
Canada,2008,2479778
Canada,2009,2316214
Canada,2010,2603404
Canada,2011,2569704
Canada,2012,2514998
Canada,2013,2573106
Canada,2014,2835310
Canada,2015,3120114
Canada,2016,3111850
Canada,2017,3331818
Canada,2018,3581838
Canada,2019,3839076
Canada,2020,669002
Canada,2021,643196
Canada,2022,1919214
Central America,2005,123988
Central America,2006,222510
Central America,2007,259304
Central America,2008,200238
Central America,2009,214342
Central America,2010,228370
Central America,2011,250368
Central America,2012,261560
Central America,2013,258220
Central America,2014,256132
Central America,2015,322834
Central America,2016,485424
Central America,2017,612072
Central America,2018,755452
Central America,2019,734128
Central America,2020,188328
Central America,2021,281704
Central America,2022,431108
Europe,2005,2294390
Europe,2006,4327328
Europe,2007,4588920
Europe,2008,4719664
Europe,2009,4375380
Europe,2010,4327974
Europe,2011,4831528
Europe,2012,5029238
Europe,2013,5439374
Europe,2014,5684674
Europe,2015,6411426
Europe,2016,6819942
Europe,2017,7339060
Europe,2018,7918816
Europe,2019,8828076
Europe,2020,1568216
Europe,2021,1792756
Europe,2022,4905078
Mexico,2005,610174
Mexico,2006,1372236
Mexico,2007,1273892
Mexico,2008,1282010
Mexico,2009,1199772
Mexico,2010,1190776
Mexico,2011,1170396
Mexico,2012,1700868
Mexico,2013,1668098
Mexico,2014,1991046
Mexico,2015,2004876
Mexico,2016,2362668
Mexico,2017,2750464
Mexico,2018,2655480
Mexico,2019,2562854
Mexico,2020,842602
Mexico,2021,1668412
Mexico,2022,1886146
Middle East,2008,5826
Middle East,2009,277068
Middle East,2010,423628
Middle East,2011,432716
Middle East,2012,453470
Middle East,2013,446548
Middle East,2014,518904
Middle East,2015,922488
Middle East,2016,1005168
Middle East,2017,967382
Middle East,2018,968438
Middle East,2019,1074900
Middle East,2020,241272
Middle East,2021,550570
Middle East,2022,879402
South America,2010,72942
South America,2011,133516
South America,2012,132906
South America,2013,130824
South America,2014,31294
South America,2017,162
US,2005,25995134
US,2006,49491866
US,2007,52966354
US,2008,56403144
US,2009,57958922
US,2010,60714384
US,2011,63744056
US,2012,69673634
US,2013,70402944
US,2014,73689682
US,2015,77628646
US,2016,81473750
US,2017,84795434
US,2018,86979996
US,2019,84232038
US,2020,26236690
US,2021,41983118
US,2022,46955185
